task_id,mu,sigma
wildchat_135589,0.0,1.0594098382754034
wildchat_126886,0.9902975543860436,0.38027431900118563
wildchat_23686,2.338764626708744,7.38905609893065
wildchat_55481,4.295642211823126,0.24646927261144763
wildchat_78596,0.6355302277122622,0.24090650640001585
wildchat_230080,-0.2970847948382548,0.3347236460093479
wildchat_59098,1.6376725830822378,0.18861632279532897
wildchat_332276,-0.4103742729884343,1.7830801655920896
wildchat_117475,1.7692774292370386,1.701536942804233
wildchat_421664,-5.39531693626218,0.47214854133049416
