task_id,mu,sigma
wildchat_135589,0.0,0.4676799874124209
wildchat_126886,3.165775913375609,1.2782249639150138
wildchat_23686,6.383759820908972,0.1353352832366127
wildchat_55481,5.477645381458844,0.3216485540386126
wildchat_78596,5.566739536962179,0.1353352832366127
wildchat_230080,5.117343169999146,0.1353352832366127
wildchat_59098,8.461738940775254,3.390201662407287
wildchat_332276,6.281004181600745,1.148709732747458
wildchat_117475,6.514049528412268,0.15080915064668307
wildchat_421664,2.767708856285016,0.1383586929894444
